"captured_at","token","symbol","ltp","ltq","ltt","volume","open_price","high_price","low_price","prev_close","lower_circuit","upper_circuit","bids","asks"
"2025-12-17 13:15:00.836716+05:30","130955012","GSBFIN","33.98","41","Wed Dec 17 13:15:00 IST 2025","41","33.98","33.98","33.98","33.32",NULL,NULL,"[{""price"": 33.98, ""orders"": 1, ""quantity"": 636}, {""price"": 32.67, ""orders"": 1, ""quantity"": 100}, {""price"": 32.66, ""orders"": 1, ""quantity"": 200}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]","[{""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]"
"2025-12-17 13:15:30.946965+05:30","130955012","GSBFIN","33.98","41","Wed Dec 17 13:15:00 IST 2025","41","33.98","33.98","33.98","33.32",NULL,NULL,"[{""price"": 33.98, ""orders"": 1, ""quantity"": 636}, {""price"": 32.67, ""orders"": 1, ""quantity"": 100}, {""price"": 32.66, ""orders"": 1, ""quantity"": 200}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]","[{""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]"
"2025-12-17 13:15:32.136867+05:30","130955012","GSBFIN","33.98","41","Wed Dec 17 13:15:00 IST 2025","41","33.98","33.98","33.98","33.32",NULL,NULL,"[{""price"": 33.98, ""orders"": 1, ""quantity"": 636}, {""price"": 32.67, ""orders"": 1, ""quantity"": 100}, {""price"": 32.66, ""orders"": 1, ""quantity"": 200}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]","[{""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]"
"2025-12-17 13:15:33.343821+05:30","130955012","GSBFIN","33.98","41","Wed Dec 17 13:15:00 IST 2025","41","33.98","33.98","33.98","33.32",NULL,NULL,"[{""price"": 33.98, ""orders"": 1, ""quantity"": 636}, {""price"": 32.67, ""orders"": 1, ""quantity"": 100}, {""price"": 32.66, ""orders"": 1, ""quantity"": 200}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]","[{""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]"
"2025-12-17 13:15:34.520058+05:30","130955012","GSBFIN","33.98","41","Wed Dec 17 13:15:00 IST 2025","41","33.98","33.98","33.98","33.32",NULL,NULL,"[{""price"": 33.98, ""orders"": 1, ""quantity"": 636}, {""price"": 32.67, ""orders"": 1, ""quantity"": 100}, {""price"": 32.66, ""orders"": 1, ""quantity"": 200}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]","[{""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]"
"2025-12-17 13:15:35.726199+05:30","130955012","GSBFIN","33.98","41","Wed Dec 17 13:15:00 IST 2025","41","33.98","33.98","33.98","33.32",NULL,NULL,"[{""price"": 33.98, ""orders"": 1, ""quantity"": 636}, {""price"": 32.67, ""orders"": 1, ""quantity"": 100}, {""price"": 32.66, ""orders"": 1, ""quantity"": 200}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]","[{""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]"
"2025-12-17 13:15:36.929726+05:30","130955012","GSBFIN","33.98","41","Wed Dec 17 13:15:00 IST 2025","41","33.98","33.98","33.98","33.32",NULL,NULL,"[{""price"": 33.98, ""orders"": 1, ""quantity"": 636}, {""price"": 32.67, ""orders"": 1, ""quantity"": 100}, {""price"": 32.66, ""orders"": 1, ""quantity"": 200}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]","[{""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]"
"2025-12-17 13:15:38.146364+05:30","130955012","GSBFIN","33.98","41","Wed Dec 17 13:15:00 IST 2025","41","33.98","33.98","33.98","33.32",NULL,NULL,"[{""price"": 33.98, ""orders"": 1, ""quantity"": 636}, {""price"": 32.67, ""orders"": 1, ""quantity"": 100}, {""price"": 32.66, ""orders"": 1, ""quantity"": 200}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]","[{""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]"
"2025-12-17 13:15:39.342228+05:30","130955012","GSBFIN","33.98","41","Wed Dec 17 13:15:00 IST 2025","41","33.98","33.98","33.98","33.32",NULL,NULL,"[{""price"": 33.98, ""orders"": 1, ""quantity"": 636}, {""price"": 32.67, ""orders"": 1, ""quantity"": 100}, {""price"": 32.66, ""orders"": 1, ""quantity"": 200}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]","[{""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]"
"2025-12-17 13:15:40.531679+05:30","130955012","GSBFIN","33.98","41","Wed Dec 17 13:15:00 IST 2025","41","33.98","33.98","33.98","33.32",NULL,NULL,"[{""price"": 33.98, ""orders"": 1, ""quantity"": 636}, {""price"": 32.67, ""orders"": 1, ""quantity"": 100}, {""price"": 32.66, ""orders"": 1, ""quantity"": 200}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]","[{""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}, {""price"": 0.0, ""orders"": 0, ""quantity"": 0}]"
